Setting,Value
tructureRadius,
nitStock,
ileRadius,
umRobots,
RobotSpeed,1.0
LaunchFrequency,1.0
ilePayload,
Result,Value
Time,
bots,
unches,
TotalTime,10.313331
TotalDistanceRobotsTravelled,3093.169189
